task,team_id,Person-ID (mellon-ID),event_start_time,event_end_time,event_result,Primary code ,Primary Sub-code,Secondary Code,Secondary  Sub-code,Apartment Feature 1,Apartment Feature 2,Apartment Feature 3,Apartment Feature 4 ,Candidate Feature 1,Candidate Feature 2,Candidate Feature 3,Candidate Feature 4,Party Venue Feature 1,Party Venue Feature 2,Party Venue Feature 3,Party Venue Feature 4,Professor Feature 1,Professor Feature 2,Professor Feature 3,Professor Feature 4
candidate,202919_Ratlife2001_198808_163573,202919,2019-09-28 17:23:24+00:00,2019-09-28 17:23:24+00:00,"Oh for me, C was described as someone who offers criticism in a supportive way and ""learns from setbacks and the moves on"" ",SSI,SSI-RP,,,,,,,learns from setbacks and then moves on,,,,,,,,,,,
candidate,202919_Ratlife2001_198808_163573,202919,2019-09-28 17:23:38+00:00,2019-09-28 17:23:38+00:00,which I think shows the ability to grow and improve from his mistakes,SSI,SSI-U,,,,,,,,,,,,,,,,,,
candidate,202919_Ratlife2001_198808_163573,198808,2019-09-28 17:23:41+00:00,2019-09-28 17:23:41+00:00,B has the least (and most minimal) weaknesses,SSI,SSI-U,,,,,,,,,,,,,,,,,,
candidate,202919_Ratlife2001_198808_163573,202919,2019-09-28 17:23:52+00:00,2019-09-28 17:23:52+00:00,"whereas Candidate B is ""reluctant to accept constructive criticism""",SSI, SSI-NN,,,,,,,reluctant to accept constructive criticism,,,,,,,,,,,
candidate,202919_Ratlife2001_198808_163573,163573,2019-09-28 17:24:06+00:00,2019-09-28 17:24:06+00:00,wait that point isn't in mine,SSI,SSI-O,,,,,,,,,,,,,,,,,,
candidate,202919_Ratlife2001_198808_163573,163573,2019-09-28 17:24:07+00:00,2019-09-28 17:24:07+00:00,: o,SMC,SMC-R,,,,,,,,,,,,,,,,,,
candidate,202919_Ratlife2001_198808_163573,202919,2019-09-28 17:24:18+00:00,2019-09-28 17:24:18+00:00,yep all of us have some info that isn't available to all of us,CRF,CRF-R,,,,,,,,,,,,,,,,,,
candidate,202919_Ratlife2001_198808_163573,198808,2019-09-28 17:24:25+00:00,2019-09-28 17:24:25+00:00,Yea I don't see that point either,SSI,SSI-O,,,,,,,,,,,,,,,,,,
candidate,202919_Ratlife2001_198808_163573,Ratlife2001,2019-09-28 17:24:27+00:00,2019-09-28 17:24:27+00:00,oh i get it now,SSI,SSI-U,,,,,,,,,,,,,,,,,,
candidate,202919_Ratlife2001_198808_163573,198808,2019-09-28 17:24:29+00:00,2019-09-28 17:24:29+00:00,Oh,SESU,SESU-A,,,,,,,,,,,,,,,,,,
candidate,202919_Ratlife2001_198808_163573,163573,2019-09-28 17:24:33+00:00,2019-09-28 17:24:33+00:00,oh that's interestinggg hmm,SESU,SESU-A,,,,,,,,,,,,,,,,,,
candidate,202919_Ratlife2001_198808_163573,202919,2019-09-28 17:24:34+00:00,2019-09-28 17:24:34+00:00,do u guys wanna share the biggest cons that you see on Candidate B and C?,CE,CEC-S,,,,,,,,,,,,,,,,,,
candidate,202919_Ratlife2001_198808_163573,163573,2019-09-28 17:24:41+00:00,2019-09-28 17:24:41+00:00,sure that's a good idea,SN,SN-A,,,,,,,,,,,,,,,,,,
candidate,202919_Ratlife2001_198808_163573,202919,2019-09-28 17:24:44+00:00,2019-09-28 17:24:44+00:00,and we can merge it tog and create a better picture,CE,CEC-S,,,,,,,,,,,,,,,,,,
candidate,202919_Ratlife2001_198808_163573,Ratlife2001,2019-09-28 17:24:46+00:00,2019-09-28 17:24:46+00:00,we can all copy and paste,CE,CEC-S,,,,,,,,,,,,,,,,,,
candidate,202919_Ratlife2001_198808_163573,163573,2019-09-28 17:24:54+00:00,2019-09-28 17:24:54+00:00,oh yea it lets us,SN,SN-A,,,,,,,,,,,,,,,,,,
candidate,202919_Ratlife2001_198808_163573,202919,2019-09-28 17:25:01+00:00,2019-09-28 17:25:01+00:00,"Candidate B

Consistently supportive and encouraging to colleagues.
Dresses professionally and maintains an organized work space.
Is self-motivated and regularly takes the initiative.
Able to prioritize effectively.
Handles challenging situations calmly.
Committed to supporting the company's values and goals.
Is a fraternal twin.
Engages in gossip.
Reluctant to accept constructive criticism.",SSI,SSI-Ma,,,,,,,,,,,,,,,,,,
candidate,202919_Ratlife2001_198808_163573,163573,2019-09-28 17:25:04+00:00,2019-09-28 17:25:04+00:00,okay this is for B,CE,CEC-R,,,,,,,,,,,,,,,,,,
candidate,202919_Ratlife2001_198808_163573,163573,2019-09-28 17:25:06+00:00,2019-09-28 17:25:06+00:00,"Consistently supportive and encouraging to colleagues.
Dresses professionally and maintains an organized work space.
Is self-motivated and regularly takes the initiative.
Able to prioritize effectively.
Handles challenging situations calmly.
Committed to supporting the company's values and goals.
Enjoys visiting art museums.
Can be resistant to change.
Has recently missed some critical deadlines.",SSI,SSI-Ma,,,,,,,,,,,,,,,,,,
candidate,202919_Ratlife2001_198808_163573,202919,2019-09-28 17:25:10+00:00,2019-09-28 17:25:10+00:00,"Candidate C

Collaborates effectively with colleagues at all levels of the company.
Is able to offer criticism in a supportive way.
Learns from setbacks and then moves on.
Mentors younger co-workers.
Prefers winter to summer.
Enjoys listening to audio books.
Lack of organization gets in the way of effectiveness.
Tentative when faced with important decisions.
Holds grudges after disagreements.",SSI,SSI-Ma,,,,,,,,,,,,,,,,,,
candidate,202919_Ratlife2001_198808_163573,Ratlife2001,2019-09-28 17:25:11+00:00,2019-09-28 17:25:11+00:00,"Candidate B

Consistently supportive and encouraging to colleagues.
Dresses professionally and maintains an organized work space.
Is self-motivated and regularly takes the initiative.
Able to prioritize effectively.
Handles challenging situations calmly.
Committed to supporting the company's values and goals.
Occasionally publishes short fiction in literary journals.
Displays ignorance regarding current trends in the industry.
Can appear curt or standoffish when dealing with clients.",SSI,SSI-Ma,,,,,,,,,,,,,,,,,,
candidate,202919_Ratlife2001_198808_163573,198808,2019-09-28 17:25:26+00:00,2019-09-28 17:25:26+00:00,"Candidate A

Proposes ideas that help the business run more smoothly.
Willing to take risks.
Strives to meet challenging goals.
Owns a dog.
Competes in 5K runs.
Grew up in Florida.
Responds dismissively to junior co-workers' ideas.
Frequently late to meetings
Refuses to take responsibility for mistakes.
Candidate B

Consistently supportive and encouraging to colleagues.
Dresses professionally and maintains an organized work space.
Is self-motivated and regularly takes the initiative.
Able to prioritize effectively.
Handles challenging situations calmly.
Committed to supporting the company's values and goals.
Attended college in Maryland.
Written communication is sometimes confusing.
Prone to leaving work early without explanation.
Candidate C

Warm, friendly, and outgoing.
Is able to offer criticism in a supportive way.
Learns from setbacks and then moves on.
Mentors younger co-workers.
Swam on the varsity team in college.
Has a spouse who is from Pittsburgh.
Lack of organization gets in the way of effectiveness.
Tentative when faced with important decisions.
Holds grudges after disagreements.",SSI,SSI-Ma,,,,,,,,,,,,,,,,,,
candidate,202919_Ratlife2001_198808_163573,163573,2019-09-28 17:26:15+00:00,2019-09-28 17:26:15+00:00,I feel like overall the faults of Candidate B aren't as numerous or severe as the others,SSI,SSI-O,,,,,,,,,,,,,,,,,,
candidate,202919_Ratlife2001_198808_163573,Ratlife2001,2019-09-28 17:26:30+00:00,2019-09-28 17:26:30+00:00,i agree,SN,SN-A,,,,,,,,,,,,,,,,,,
candidate,202919_Ratlife2001_198808_163573,163573,2019-09-28 17:26:42+00:00,2019-09-28 17:26:42+00:00,And like they're able to offer a lot more important skills than the others,CRF,CRF-F,,,,,,,,,,,,,,,,,,
candidate,202919_Ratlife2001_198808_163573,Ratlife2001,2019-09-28 17:27:45+00:00,2019-09-28 17:27:45+00:00,i still support the BCA ranking unless someone disagrees,CM,CM-S,,,,,,,,,,,,,,,,,,
candidate,202919_Ratlife2001_198808_163573,198808,2019-09-28 17:27:57+00:00,2019-09-28 17:27:57+00:00,"I think that even with the addition of new weaknesses, B is still slightly stronger than C",SSI,SSI-O,,,,,,,,,,,,,,,,,,
candidate,202919_Ratlife2001_198808_163573,198808,2019-09-28 17:28:05+00:00,2019-09-28 17:28:05+00:00,"So yeah, still BCA",SN,SN-A,,,,,,,,,,,,,,,,,,
candidate,202919_Ratlife2001_198808_163573,163573,2019-09-28 17:28:09+00:00,2019-09-28 17:28:09+00:00,yea same,SN,SN-A,,,,,,,,,,,,,,,,,,
candidate,202919_Ratlife2001_198808_163573,202919,2019-09-28 17:28:12+00:00,2019-09-28 17:28:12+00:00,"okay that's cool we can stick with that
",SN,SN-A,,,,,,,,,,,,,,,,,,
candidate,202919_Ratlife2001_198808_163573,198808,2019-09-28 17:28:20+00:00,2019-09-28 17:28:20+00:00,Let's submit then,CE,CEC-S,,,,,,,,,,,,,,,,,,
candidate,202919_Ratlife2001_198808_163573,163573,2019-09-28 17:28:31+00:00,2019-09-28 17:28:31+00:00,"we going with BCA?
",CM,CM-S,,,,,,,,,,,,,,,,,,
candidate,202919_Ratlife2001_198808_163573,Ratlife2001,2019-09-28 17:28:35+00:00,2019-09-28 17:28:35+00:00,yeah,SN,SN-A,,,,,,,,,,,,,,,,,,
candidate,203404_198251_191802_166085,203404,2019-10-01 23:19:11+00:00,2019-10-01 23:19:11+00:00,So what's your answers?,SESU,SESU-P,,,,,,,,,,,,,,,,,,
candidate,203404_198251_191802_166085,203404,2019-10-01 23:19:31+00:00,2019-10-01 23:19:31+00:00,My answer is BCA,SSI,SSI-O,,,,,,,,,,,,,,,,,,
candidate,203404_198251_191802_166085,198251,2019-10-01 23:19:38+00:00,2019-10-01 23:19:38+00:00,Me too,SN,SN-A,,,,,,,,,,,,,,,,,,
candidate,203404_198251_191802_166085,191802,2019-10-01 23:19:39+00:00,2019-10-01 23:19:39+00:00,Same,SN,SN-A,,,,,,,,,,,,,,,,,,
candidate,203404_198251_191802_166085,166085,2019-10-01 23:19:42+00:00,2019-10-01 23:19:42+00:00,"Likewise, I chose BCA",SSI,SSI-O,,,,,,,,,,,,,,,,,,
candidate,203404_198251_191802_166085,191802,2019-10-01 23:20:01+00:00,2019-10-01 23:20:01+00:00,So I guess we're all in agreement,SSI,SSI-U,,,,,,,,,,,,,,,,,,
candidate,203404_198251_191802_166085,198251,2019-10-01 23:20:08+00:00,2019-10-01 23:20:08+00:00,Submit?,CM,CM-S,,,,,,,,,,,,,,,,,,
candidate,203404_198251_191802_166085,166085,2019-10-01 23:20:15+00:00,2019-10-01 23:20:15+00:00,They ask us to utilize the full 20 minutes though ,SSI,SSI-T,,,,,,,,,,,,,,,,,,
candidate,203404_198251_191802_166085,203404,2019-10-01 23:20:23+00:00,2019-10-01 23:20:23+00:00,just submit the same answer,CE,CEC-S,,,,,,,,,,,,,,,,,,
candidate,203404_198251_191802_166085,166085,2019-10-01 23:20:32+00:00,2019-10-01 23:20:32+00:00,BCA it is then ,CE,CEC-R,,,,,,,,,,,,,,,,,,
candidate,Isabella_195466_187876_180275,195466,2019-10-03 23:06:44+00:00,2019-10-03 23:06:44+00:00,"Hello, My name is Yesenia.",SMC,SMC-R,,,,,,,,,,,,,,,,,,
candidate,Isabella_195466_187876_180275,Isabella,2019-10-03 23:11:19+00:00,2019-10-03 23:11:19+00:00,Hi I'm Isabella,SMC,SMC-R,,,,,,,,,,,,,,,,,,
candidate,Isabella_195466_187876_180275,180275,2019-10-03 23:11:26+00:00,2019-10-03 23:11:26+00:00,"Hi, this is Crescent",SMC,SMC-R,,,,,,,,,,,,,,,,,,
candidate,Isabella_195466_187876_180275,187876,2019-10-03 23:11:42+00:00,2019-10-03 23:11:42+00:00,"Hi, I'm Sabrina",SMC,SMC-R,,,,,,,,,,,,,,,,,,
candidate,Isabella_195466_187876_180275,187876,2019-10-03 23:11:56+00:00,2019-10-03 23:11:56+00:00,I put BCA what did you guys put?,SSI,SSI-O,SESU,SESU-P,,,,,,,,,,,,,,,,
candidate,Isabella_195466_187876_180275,180275,2019-10-03 23:12:02+00:00,2019-10-03 23:12:02+00:00,me too,SN,SN-A,,,,,,,,,,,,,,,,,,
candidate,Isabella_195466_187876_180275,Isabella,2019-10-03 23:12:05+00:00,2019-10-03 23:12:05+00:00,I did the same thing,SN,SN-A,,,,,,,,,,,,,,,,,,
candidate,Isabella_195466_187876_180275,195466,2019-10-03 23:12:15+00:00,2019-10-03 23:12:15+00:00,i put cba,SSI,SSI-O,,,,,,,,,,,,,,,,,,
candidate,Isabella_195466_187876_180275,180275,2019-10-03 23:12:26+00:00,2019-10-03 23:12:26+00:00,but what's the difference between this question and the last one?,SESU,SESU-P,,,,,,,,,,,,,,,,,,
candidate,Isabella_195466_187876_180275,195466,2019-10-03 23:12:47+00:00,2019-10-03 23:12:47+00:00,its the same. we now have to agree on an order as a team,SSI,SSI-U,,,,,,,,,,,,,,,,,,
candidate,Isabella_195466_187876_180275,Isabella,2019-10-03 23:12:49+00:00,2019-10-03 23:12:49+00:00,"It's the same question, they just want us to discuss and see if we chabge our minds",SSI,SSI-U,,,,,,,,,,,,,,,,,,
candidate,Isabella_195466_187876_180275,180275,2019-10-03 23:12:53+00:00,2019-10-03 23:12:53+00:00,"ok, so we need to discuss ",SESU,SESU-P,,,,,,,,,,,,,,,,,,
candidate,Isabella_195466_187876_180275,180275,2019-10-03 23:13:13+00:00,2019-10-03 23:13:13+00:00,and try to reach the agreement kind of?,SESU,SESU-P,,,,,,,,,,,,,,,,,,
candidate,Isabella_195466_187876_180275,187876,2019-10-03 23:13:17+00:00,2019-10-03 23:13:17+00:00,yes,SESU,SESU-A,,,,,,,,,,,,,,,,,,
candidate,Isabella_195466_187876_180275,Isabella,2019-10-03 23:13:24+00:00,2019-10-03 23:13:24+00:00,I started with CBA but i decided that the cons of person B were less harmful than in person C,CRF,CRF-F,,,,,,,,,,,,,,,,,,
candidate,Isabella_195466_187876_180275,180275,2019-10-03 23:13:31+00:00,2019-10-03 23:13:31+00:00,me too!,SN,SN-A,,,,,,,,,,,,,,,,,,
candidate,Isabella_195466_187876_180275,195466,2019-10-03 23:13:38+00:00,2019-10-03 23:13:38+00:00,"i was in between of what is worse, holding grudes or leaving work without an explaination",SSI,SSI-U,SSI, SSI-NN,,,,,holds grudges after disagreements,prone to leaving work early without explanation,,,,,,,,,,
candidate,Isabella_195466_187876_180275,180275,2019-10-03 23:14:22+00:00,2019-10-03 23:14:22+00:00,I just find B's attitudes towards big events might be better,SSI,SSI-U,,,,,,,,,,,,,,,,,,
candidate,Isabella_195466_187876_180275,187876,2019-10-03 23:14:32+00:00,2019-10-03 23:14:32+00:00,yeah,SN,SN-A,,,,,,,,,,,,,,,,,,
candidate,Isabella_195466_187876_180275,195466,2019-10-03 23:14:36+00:00,2019-10-03 23:14:36+00:00,Right!,SN,SN-A,,,,,,,,,,,,,,,,,,
candidate,Isabella_195466_187876_180275,Isabella,2019-10-03 23:15:09+00:00,2019-10-03 23:15:09+00:00,"Yeah they seem to handle situations better, person C just seems to be good with in terms of being a good role model",CRF,CRF-F,,,,,,,,,,,,,,,,,,
candidate,Isabella_195466_187876_180275,195466,2019-10-03 23:15:36+00:00,2019-10-03 23:15:36+00:00,I agree with BCA,SSI,SSI-O,,,,,,,,,,,,,,,,,,
candidate,Isabella_195466_187876_180275,180275,2019-10-03 23:15:44+00:00,2019-10-03 23:15:44+00:00,haha,SMC,SMC-R,,,,,,,,,,,,,,,,,,
candidate,Isabella_195466_187876_180275,180275,2019-10-03 23:16:03+00:00,2019-10-03 23:16:03+00:00,"what about A, guys",SESU,SESU-P,,,,,,,,,,,,,,,,,,
candidate,Isabella_195466_187876_180275,180275,2019-10-03 23:16:23+00:00,2019-10-03 23:16:23+00:00,why do you prefer C rather than A,SESU,SESU-P,,,,,,,,,,,,,,,,,,
candidate,Isabella_195466_187876_180275,Isabella,2019-10-03 23:17:03+00:00,2019-10-03 23:17:03+00:00,"because A has 3 more major flaws, and their positive aspects don't have much to do with being good at their job",CRF,CRF-F,,,,,,,,,,,,,,,,,,
candidate,Isabella_195466_187876_180275,Isabella,2019-10-03 23:17:22+00:00,2019-10-03 23:17:22+00:00,We don't really care that they are from florida or have a dog if we're ranking them,SSI,SSI-U,,,,,,,,,,,,,,,,,,
candidate,Isabella_195466_187876_180275,187876,2019-10-03 23:17:55+00:00,2019-10-03 23:17:55+00:00,A has fewer character qualities than the other two,SSI,SSI-U,,,,,,,,,,,,,,,,,,
candidate,Isabella_195466_187876_180275,180275,2019-10-03 23:18:05+00:00,2019-10-03 23:18:05+00:00,I just thought C a more active one and A has not that many related points with job stuff,CRF,CRF-F,,,,,,,,,,,,,,,,,,
candidate,Isabella_195466_187876_180275,195466,2019-10-03 23:18:06+00:00,2019-10-03 23:18:06+00:00,over time someone who does not take responsibility of their actions usually creates much stress and negative surrounding,SSI,SSI-U,SSI, SSI-NN,,,,,refuses to take responsibility for mistakes,,,,,,,,,,,
candidate,Isabella_195466_187876_180275,Isabella,2019-10-03 23:18:21+00:00,2019-10-03 23:18:21+00:00,yeah overall they didn't seem like they would work out,SSI,SSI-U,,,,,,,,,,,,,,,,,,
candidate,Isabella_195466_187876_180275,187876,2019-10-03 23:18:33+00:00,2019-10-03 23:18:33+00:00,we can then all agree on BCA?,CM,CM-S,,,,,,,,,,,,,,,,,,
candidate,Isabella_195466_187876_180275,Isabella,2019-10-03 23:18:38+00:00,2019-10-03 23:18:38+00:00,yes,SN,SN-A,,,,,,,,,,,,,,,,,,
candidate,Isabella_195466_187876_180275,180275,2019-10-03 23:18:43+00:00,2019-10-03 23:18:43+00:00,I agree,SN,SN-A,,,,,,,,,,,,,,,,,,
candidate,Isabella_195466_187876_180275,Isabella,2019-10-03 23:18:54+00:00,2019-10-03 23:18:54+00:00,"okay, we're good to submit then ?",CE,CEC-S,,,,,,,,,,,,,,,,,,
candidate,Isabella_195466_187876_180275,195466,2019-10-03 23:18:55+00:00,2019-10-03 23:18:55+00:00,yes,SN,SN-A,,,,,,,,,,,,,,,,,,
candidate,Isabella_195466_187876_180275,180275,2019-10-03 23:19:07+00:00,2019-10-03 23:19:07+00:00,12 min left lol,CM,CM-G,,,,,,,,,,,,,,,,,,
PartyVenue,175763_196386_177792_167600,196386,2019-09-28 17:17:24+00:00,2019-09-28 17:17:24+00:00,hi,SMC,SMC-R,,,,,,,,,,,,,,,,,,
PartyVenue,175763_196386_177792_167600,175763,2019-09-28 17:17:32+00:00,2019-09-28 17:17:32+00:00,Hi,SMC,SMC-R,,,,,,,,,,,,,,,,,,
PartyVenue,175763_196386_177792_167600,167600,2019-09-28 17:17:35+00:00,2019-09-28 17:17:35+00:00,HHi,SMC,SMC-R,,,,,,,,,,,,,,,,,,
PartyVenue,175763_196386_177792_167600,177792,2019-09-28 17:17:39+00:00,2019-09-28 17:17:39+00:00,hi,SMC,SMC-R,,,,,,,,,,,,,,,,,,
PartyVenue,175763_196386_177792_167600,196386,2019-09-28 17:18:25+00:00,2019-09-28 17:18:25+00:00,did everyone click next?,CM,CM-G,,,,,,,,,,,,,,,,,,
PartyVenue,175763_196386_177792_167600,196386,2019-09-28 17:22:08+00:00,2019-09-28 17:22:08+00:00,hi,SMC,SMC-R,,,,,,,,,,,,,,,,,,
PartyVenue,175763_196386_177792_167600,196386,2019-09-28 17:22:23+00:00,2019-09-28 17:22:23+00:00,what did u guys rank?,SESU,SESU-P,,,,,,,,,,,,,,,,,,
PartyVenue,175763_196386_177792_167600,177792,2019-09-28 17:22:23+00:00,2019-09-28 17:22:23+00:00,are we supposed to discuss the answers we chose ,SESU,SESU-P,,,,,,,,,,,,,,,,,,
PartyVenue,175763_196386_177792_167600,196386,2019-09-28 17:22:25+00:00,2019-09-28 17:22:25+00:00,yeah,SESU,SESU-A,,,,,,,,,,,,,,,,,,
PartyVenue,175763_196386_177792_167600,177792,2019-09-28 17:22:38+00:00,2019-09-28 17:22:38+00:00,BAC,SSI,SSI-O,,,,,,,,,,,,,,,,,,
PartyVenue,175763_196386_177792_167600,175763,2019-09-28 17:22:38+00:00,2019-09-28 17:22:38+00:00,I put C as the best ,SSI,SSI-O,,,,,,,,,,,,,,,,,,
PartyVenue,175763_196386_177792_167600,196386,2019-09-28 17:22:42+00:00,2019-09-28 17:22:42+00:00,it says some of the info is invisible to the others,SSI,SSI-T,,,,,,,,,,,,,,,,,,
PartyVenue,175763_196386_177792_167600,167600,2019-09-28 17:22:44+00:00,2019-09-28 17:22:44+00:00,CAB,SSI,SSI-O,,,,,,,,,,,,,,,,,,
PartyVenue,175763_196386_177792_167600,175763,2019-09-28 17:22:50+00:00,2019-09-28 17:22:50+00:00,CBA,SSI,SSI-O,,,,,,,,,,,,,,,,,,
PartyVenue,175763_196386_177792_167600,196386,2019-09-28 17:22:52+00:00,2019-09-28 17:22:52+00:00,mine was ACB,SSI,SSI-O,,,,,,,,,,,,,,,,,,
PartyVenue,175763_196386_177792_167600,196386,2019-09-28 17:23:03+00:00,2019-09-28 17:23:03+00:00,ok theres two Cs,SSI,SSI-U,,,,,,,,,,,,,,,,,,
PartyVenue,175763_196386_177792_167600,196386,2019-09-28 17:23:10+00:00,2019-09-28 17:23:10+00:00,why did you guys put C as the best?,SESU,SESU-P,,,,,,,,,,,,,,,,,,
PartyVenue,175763_196386_177792_167600,177792,2019-09-28 17:23:16+00:00,2019-09-28 17:23:16+00:00,yikes we all have diff answers ,SSI,SSI-U,,,,,,,,,,,,,,,,,,
PartyVenue,175763_196386_177792_167600,175763,2019-09-28 17:23:23+00:00,2019-09-28 17:23:23+00:00,ummm i think C is the best because the problems they listed are not major ,CRF,CRF-F,,,,,,,,,,,,,,,,,,
PartyVenue,175763_196386_177792_167600,167600,2019-09-28 17:23:46+00:00,2019-09-28 17:23:46+00:00,I agree,SN,SN-A,,,,,,,,,,,,,,,,,,
PartyVenue,175763_196386_177792_167600,196386,2019-09-28 17:23:51+00:00,2019-09-28 17:23:51+00:00,maggie why did you put C last?,SESU,SESU-P,,,,,,,,,,,,,,,,,,
PartyVenue,175763_196386_177792_167600,177792,2019-09-28 17:24:17+00:00,2019-09-28 17:24:17+00:00,i put c as last because theres more for the ppl attending to contribute to ,CRF,CRF-F,,,,,,,,,,,,,,,,,,
PartyVenue,175763_196386_177792_167600,177792,2019-09-28 17:24:29+00:00,2019-09-28 17:24:29+00:00,it makes it harder for them ,SSI,SSI-U,,,,,,,,,,,,,,,,,,
PartyVenue,175763_196386_177792_167600,175763,2019-09-28 17:24:31+00:00,2019-09-28 17:24:31+00:00,and I actually thing A should be second because B has a citation for kitchen cleanliness so it should go last ,CRF,CRF-F,SSI, SSI-NN,,,,,,,,,received a number of code violations in the last three years for kitchen cleanliness problems,,,,,,,
PartyVenue,175763_196386_177792_167600,196386,2019-09-28 17:24:42+00:00,2019-09-28 17:24:42+00:00,o hey it doesnt say that for my B,SSI,SSI-O,,,,,,,,,,,,,,,,,,
PartyVenue,175763_196386_177792_167600,177792,2019-09-28 17:24:57+00:00,2019-09-28 17:24:57+00:00,same ,SN,SN-A,,,,,,,,,,,,,,,,,,
PartyVenue,175763_196386_177792_167600,196386,2019-09-28 17:25:05+00:00,2019-09-28 17:25:05+00:00,my B also says that it witholds security deposits for no reason,SSI, SSI-NN,,,,,,,,,,,"has been known to withhold security deposit for no clear, defensible reason",,,,,,,
PartyVenue,175763_196386_177792_167600,167600,2019-09-28 17:25:14+00:00,2019-09-28 17:25:14+00:00,that must be only visible to him then,CRF,CRF-R,,,,,,,,,,,,,,,,,,
PartyVenue,175763_196386_177792_167600,177792,2019-09-28 17:25:18+00:00,2019-09-28 17:25:18+00:00,mine has liablity insurance ,SSI, SSI-NN,,,,,,,,,,,customers must contribute to the cost of liability insurance,,,,,,,
PartyVenue,175763_196386_177792_167600,175763,2019-09-28 17:25:28+00:00,2019-09-28 17:25:28+00:00,oh ,SESU,SESU-A,,,,,,,,,,,,,,,,,,
PartyVenue,175763_196386_177792_167600,167600,2019-09-28 17:25:35+00:00,2019-09-28 17:25:35+00:00,my B says no clean up crew,SSI, SSI-NN,,,,,,,,,,,does not provide a clean-up crew,,,,,,,
PartyVenue,175763_196386_177792_167600,196386,2019-09-28 17:25:38+00:00,2019-09-28 17:25:38+00:00,should we agree on B being last then?,CM,CM-S,,,,,,,,,,,,,,,,,,
PartyVenue,175763_196386_177792_167600,175763,2019-09-28 17:25:45+00:00,2019-09-28 17:25:45+00:00,well i think b should go last ,SSI,SSI-O,,,,,,,,,,,,,,,,,,
PartyVenue,175763_196386_177792_167600,177792,2019-09-28 17:25:46+00:00,2019-09-28 17:25:46+00:00,sure ,SESU,SESU-A,,,,,,,,,,,,,,,,,,
PartyVenue,175763_196386_177792_167600,196386,2019-09-28 17:25:51+00:00,2019-09-28 17:25:51+00:00,ok B last,CM,CM-S,,,,,,,,,,,,,,,,,,
PartyVenue,175763_196386_177792_167600,175763,2019-09-28 17:25:54+00:00,2019-09-28 17:25:54+00:00,so CAB,CM,CM-S,,,,,,,,,,,,,,,,,,
PartyVenue,175763_196386_177792_167600,167600,2019-09-28 17:25:55+00:00,2019-09-28 17:25:55+00:00,yuh sounds good,SESU,SESU-A,,,,,,,,,,,,,,,,,,
PartyVenue,175763_196386_177792_167600,177792,2019-09-28 17:25:56+00:00,2019-09-28 17:25:56+00:00,CAB,SSI,SSI-O,,,,,,,,,,,,,,,,,,
PartyVenue,175763_196386_177792_167600,196386,2019-09-28 17:25:59+00:00,2019-09-28 17:25:59+00:00,im down,SESU,SESU-A,,,,,,,,,,,,,,,,,,
PartyVenue,175763_196386_177792_167600,175763,2019-09-28 17:26:00+00:00,2019-09-28 17:26:00+00:00,ok ,SESU,SESU-A,,,,,,,,,,,,,,,,,,
PartyVenue,175763_196386_177792_167600,177792,2019-09-28 17:26:06+00:00,2019-09-28 17:26:06+00:00,submit?,CE,CEC-S,,,,,,,,,,,,,,,,,,
PartyVenue,175763_196386_177792_167600,196386,2019-09-28 17:26:09+00:00,2019-09-28 17:26:09+00:00,ya,SESU,SESU-A,,,,,,,,,,,,,,,,,,
PartyVenue,175763_196386_177792_167600,175763,2019-09-28 17:26:10+00:00,2019-09-28 17:26:10+00:00,yes,SESU,SESU-A,,,,,,,,,,,,,,,,,,
PartyVenue,176377_165391_178953_193656,178953,2019-09-28 17:12:20+00:00,2019-09-28 17:12:20+00:00,Hello,SMC,SMC-R,,,,,,,,,,,,,,,,,,
PartyVenue,176377_165391_178953_193656,193656,2019-09-28 17:12:25+00:00,2019-09-28 17:12:25+00:00,hi,SMC,SMC-R,,,,,,,,,,,,,,,,,,
PartyVenue,176377_165391_178953_193656,165391,2019-09-28 17:12:26+00:00,2019-09-28 17:12:26+00:00,Hi!,SMC,SMC-R,,,,,,,,,,,,,,,,,,
PartyVenue,176377_165391_178953_193656,176377,2019-09-28 17:12:26+00:00,2019-09-28 17:12:26+00:00,Hi,SMC,SMC-R,,,,,,,,,,,,,,,,,,
PartyVenue,176377_165391_178953_193656,178953,2019-09-28 17:12:34+00:00,2019-09-28 17:12:34+00:00,Yoooooooooooo,SMC,SMC-R,,,,,,,,,,,,,,,,,,
PartyVenue,176377_165391_178953_193656,193656,2019-09-28 17:12:40+00:00,2019-09-28 17:12:40+00:00,wassup,SMC,SMC-R,,,,,,,,,,,,,,,,,,
PartyVenue,176377_165391_178953_193656,178953,2019-09-28 17:12:46+00:00,2019-09-28 17:12:46+00:00,Raise ur hand,SMC,SMC-R,,,,,,,,,,,,,,,,,,
PartyVenue,176377_165391_178953_193656,176377,2019-09-28 17:12:48+00:00,2019-09-28 17:12:48+00:00,who else is tired,SMC,SMC-R,,,,,,,,,,,,,,,,,,
PartyVenue,176377_165391_178953_193656,165391,2019-09-28 17:12:53+00:00,2019-09-28 17:12:53+00:00,LOL,SMC,SMC-R,,,,,,,,,,,,,,,,,,
PartyVenue,176377_165391_178953_193656,193656,2019-09-28 17:12:59+00:00,2019-09-28 17:12:59+00:00,yup,SMC,SMC-R,,,,,,,,,,,,,,,,,,
